"Id","Source","Line","Control","Type","Classification","Status","Notes"
"Pages/AwsCliModule.xaml#Ec2FilterBox","Pages/AwsCliModule.xaml","563","Ec2FilterBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/AwsCliModule.xaml#ConsoleServiceSearch","Pages/AwsCliModule.xaml","625","ConsoleServiceSearch","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/AwsCliModule.xaml#ServiceFilter","Pages/AwsCliModule.xaml","724","ServiceFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/AwsCliModule.xaml#OperationFilter","Pages/AwsCliModule.xaml","725","OperationFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/BitwardenConnectionView.cs#_searchBox","Pages/BitwardenConnectionView.cs","153","_searchBox","AutoSuggestBox","plain-text-later","remaining","Code-built vault search; shared builder migration remains pending."
"Pages/BulkOpsModule.xaml#PatternBox","Pages/BulkOpsModule.xaml","43","PatternBox","TextBox","dedicated-pattern-tool","not-applicable","Bulk file-operation pattern configured with the page mode."
"Pages/CategoryPage.xaml#FilterBox","Pages/CategoryPage.xaml","26","FilterBox","SearchPatternBox","integrated-core","shipped","Per-category tweak catalog search."
"Pages/CharMapModule.xaml#SearchBox","Pages/CharMapModule.xaml","25","SearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/CloudflareModule.xaml#OpsFilter","Pages/CloudflareModule.xaml","53","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/ColorNameModule.xaml#FilterBox","Pages/ColorNameModule.xaml","57","FilterBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/ConnectionsModule.xaml#FilterBox","Pages/ConnectionsModule.xaml","31","FilterBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/DashboardPage.xaml#SearchBox","Pages/DashboardPage.xaml","63","SearchBox","SearchPatternBox","integrated-core","shipped","Core dashboard catalog search."
"Pages/DecompilerModule.xaml#SearchBox","Pages/DecompilerModule.xaml","41","SearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/DevicesModule.xaml#FilterBox","Pages/DevicesModule.xaml","27","FilterBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/DnsRefModule.xaml#SearchBox","Pages/DnsRefModule.xaml","25","SearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/DockerSshModule.xaml#SearchBox","Pages/DockerSshModule.xaml","98","SearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/EmojiModule.xaml#SearchBox","Pages/EmojiModule.xaml","31","SearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/EmulatorModule.xaml#FilterBox","Pages/EmulatorModule.xaml","129","FilterBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/EventViewerModule.xaml#FilterBox","Pages/EventViewerModule.xaml","37","FilterBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/EverythingSearchModule.xaml#SearchBox","Pages/EverythingSearchModule.xaml","33","SearchBox","TextBox","specialized-dialect","adapter-required","File-index query with its own regex/provider contract; needs a dedicated adapter."
"Pages/FancyZonesModule.xaml#OpsFilter","Pages/FancyZonesModule.xaml","138","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/FlashcardsModule.xaml#CardSearchBox","Pages/FlashcardsModule.xaml","132","CardSearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/GitHubModule.xaml#OpsFilter","Pages/GitHubModule.xaml","596","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/GlazeWmModule.xaml#OpsFilter","Pages/GlazeWmModule.xaml","194","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/GlobTesterModule.xaml#PatternBox","Pages/GlobTesterModule.xaml","20","PatternBox","TextBox","dedicated-pattern-tool","not-applicable","Glob dialect test input."
"Pages/GlobTesterModule.xaml#RegexBox","Pages/GlobTesterModule.xaml","44","RegexBox","TextBox","read-only-output","not-applicable","Read-only generated regex output."
"Pages/HarAnalyzerModule.xaml#FilterBox","Pages/HarAnalyzerModule.xaml","52","FilterBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/HexEditorModule.xaml#FindBox","Pages/HexEditorModule.xaml","73","FindBox","TextBox","specialized-dialect","adapter-required","Hex/text byte search with a selected encoding mode."
"Pages/HomeAssistantModule.xaml#ToggleSearch","Pages/HomeAssistantModule.xaml","171","ToggleSearch","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/HttpHeaderRefModule.xaml#SearchBox","Pages/HttpHeaderRefModule.xaml","31","SearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/HttpStatusModule.xaml#SearchBox","Pages/HttpStatusModule.xaml","23","SearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/JsonPathModule.xaml#QueryBox","Pages/JsonPathModule.xaml","29","QueryBox","TextBox","dedicated-pattern-tool","not-applicable","JSONPath dialect test input."
"Pages/KeePassModule.xaml#SearchBox","Pages/KeePassModule.xaml","94","SearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/KomorebiModule.xaml#OpsFilter","Pages/KomorebiModule.xaml","190","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/LibreOfficeModule.xaml#FilterBox","Pages/LibreOfficeModule.xaml","97","FilterBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/LibreOfficeModule.xaml#OpsFilter","Pages/LibreOfficeModule.xaml","158","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/LicensesPage.xaml#SearchBox","Pages/LicensesPage.xaml","38","SearchBox","SearchPatternBox","integrated-core","shipped","License and source notice search."
"Pages/MailModule.xaml#SearchBox","Pages/MailModule.xaml","50","SearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/ManualPage.xaml#FilterBox","Pages/ManualPage.xaml","46","FilterBox","SearchPatternBox","integrated-core","shipped","In-app manual search."
"Pages/MediaModule.xaml#OpsFilter","Pages/MediaModule.xaml","371","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/MimeTypesModule.xaml#SearchBox","Pages/MimeTypesModule.xaml","20","SearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/NilesoftShellModule.xaml#OpsFilter","Pages/NilesoftShellModule.xaml","148","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/NotesModule.xaml#SearchBox","Pages/NotesModule.xaml","38","SearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/OfflineDocsPage.xaml#SearchBox","Pages/OfflineDocsPage.xaml","29","SearchBox","SearchPatternBox","integrated-core","shipped","Offline article title/body search using the shared matcher."
"Pages/OpenSourceAppHubModule.xaml#SearchBox","Pages/OpenSourceAppHubModule.xaml","50","SearchBox","SearchPatternBox","integrated-core","shipped","Native OSS clone catalog search."
"Pages/PackageManagerModule.xaml#SearchBox","Pages/PackageManagerModule.xaml","69","SearchBox","AutoSuggestBox","specialized-dialect","adapter-required","Remote package-provider query; local regex requires a provider-aware result adapter."
"Pages/PackerModule.xaml#OpsFilter","Pages/PackerModule.xaml","175","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/PdfToolkitModule.Viewer.cs#_viewerSearchBox","Pages/PdfToolkitModule.Viewer.cs","344","_viewerSearchBox","TextBox","plain-text-later","remaining","Code-built PDF text search; shared builder migration remains pending."
"Pages/ProcessExplorerModule.xaml#SearchBox","Pages/ProcessExplorerModule.xaml","84","SearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/QBittorrentModule.xaml#SearchBox","Pages/QBittorrentModule.xaml","86","SearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/RainmeterModule.xaml#SkinFilter","Pages/RainmeterModule.xaml","44","SkinFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/RainmeterModule.xaml#OpsFilter","Pages/RainmeterModule.xaml","155","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/ReactorSettingsModule.xaml#HaAlarmSearchBox","Pages/ReactorSettingsModule.xaml","143","HaAlarmSearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/ReactorSettingsModule.xaml#HaGenLightsSearchBox","Pages/ReactorSettingsModule.xaml","151","HaGenLightsSearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/ReactorSettingsModule.xaml#HaGenSwitchesSearchBox","Pages/ReactorSettingsModule.xaml","159","HaGenSwitchesSearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/RegexCheatModule.xaml#SearchBox","Pages/RegexCheatModule.xaml","26","SearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/RegexTesterModule.xaml#PatternBox","Pages/RegexTesterModule.xaml","20","PatternBox","TextBox","dedicated-pattern-tool","not-applicable","Dedicated full .NET regex builder/tester already shipped."
"Pages/RenameModule.xaml#FindBox","Pages/RenameModule.xaml","41","FindBox","TextBox","specialized-dialect","adapter-required","Rename transformation input; preserve its explicit rename/regex semantics."
"Pages/ScheduledTasksModule.xaml#FilterBox","Pages/ScheduledTasksModule.xaml","27","FilterBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/SearchResultsPage.xaml#SearchBox","Pages/SearchResultsPage.xaml","20","SearchBox","SearchPatternBox","integrated-core","shipped","Combined modules and tweak search."
"Pages/ServicesModule.xaml#FilterBox","Pages/ServicesModule.xaml","27","FilterBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/SettingsHubModule.xaml#FilterBox","Pages/SettingsHubModule.xaml","30","FilterBox","SearchPatternBox","integrated-core","shipped","In-app and Windows settings catalogs."
"Pages/SettingsPage.xaml.cs#search","Pages/SettingsPage.xaml.cs","390","search","SearchPatternBox","integrated-core","shipped","Settings search built in code and bound to the shared matcher."
"Pages/ShortcutGuideModule.xaml#SearchBox","Pages/ShortcutGuideModule.xaml","91","SearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/SshModule.xaml#OpsFilter","Pages/SshModule.xaml","158","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/StartupModule.xaml#FilterBox","Pages/StartupModule.xaml","27","FilterBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/SupportTicketsPage.xaml#TicketSearchBox","Pages/SupportTicketsPage.xaml","42","TicketSearchBox","SearchPatternBox","integrated-core","shipped","Local support-ticket search using the shared matcher."
"Pages/SymbolsModule.xaml#SearchBox","Pages/SymbolsModule.xaml","30","SearchBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/SystemMonitorModule.xaml#SearchBox","Pages/SystemMonitorModule.xaml","155","SearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/TaskbarTweakerModule.xaml#FilterBox","Pages/TaskbarTweakerModule.xaml","58","FilterBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/TextReplaceModule.xaml#unnamed-54","Pages/TextReplaceModule.xaml","54","(unnamed)","TextBox","dedicated-pattern-tool","not-applicable","Find/replace rule editor inside a data template; preserve its explicit regex option and replacement semantics."
"Pages/TorrentModule.xaml#SearchBox","Pages/TorrentModule.xaml","47","SearchBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/TotpModule.xaml#EntrySearchBox","Pages/TotpModule.xaml","22","EntrySearchBox","SearchPatternBox","integrated-core","shipped","Vault-entry metadata search using the shared matcher."
"Pages/UrlToolsModule.xaml#QueryField","Pages/UrlToolsModule.xaml","63","QueryField","TextBox","read-only-output","not-applicable","Read-only parsed URL query output."
"Pages/ViveToolModule.xaml#FilterBox","Pages/ViveToolModule.xaml","51","FilterBox","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/VsCodeModule.xaml#ExtFilterBox","Pages/VsCodeModule.xaml","194","ExtFilterBox","TextBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/VsCodeModule.xaml#OpsFilter","Pages/VsCodeModule.xaml","241","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/WindhawkModule.xaml#ModFilter","Pages/WindhawkModule.xaml","68","ModFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Pages/WiresharkModule.xaml#CaptureFilterBox","Pages/WiresharkModule.xaml","89","CaptureFilterBox","TextBox","specialized-dialect","adapter-required","BPF capture-filter dialect."
"Pages/WiresharkModule.xaml#DisplayFilterBox","Pages/WiresharkModule.xaml","91","DisplayFilterBox","TextBox","specialized-dialect","adapter-required","Wireshark display-filter dialect."
"Pages/WiresharkModule.xaml#FileFilterBox","Pages/WiresharkModule.xaml","219","FileFilterBox","TextBox","specialized-dialect","adapter-required","Wireshark display-filter dialect for saved captures."
"Pages/WiresharkModule.xaml#OpsFilter","Pages/WiresharkModule.xaml","320","OpsFilter","AutoSuggestBox","plain-text-later","remaining","Local plain-text search/filter; eligible for the shared control in a later integration batch."
"Services/CommandPaletteWindow.cs#_search","Services/CommandPaletteWindow.cs","38","_search","TextBox","plain-text-later","remaining","Code-built command-palette search; anchored builder migration remains pending."
